Date,Time,Minute,Sleep
2023-11-30,16:37:00.0,37,Sleep Movement
2023-11-30,16:38:00.0,38,Sleep Movement
2023-11-30,16:39:00.0,39,Sleep Movement
2023-11-30,16:40:00.0,40,Sleep Movement
2023-11-30,16:41:00.0,41,Sleep Movement
2023-11-30,16:42:00.0,42,Sleep Movement
2023-11-30,16:43:00.0,43,Sleep Movement
2023-11-30,16:44:00.0,44,Sleep Movement
2023-11-30,16:45:00.0,45,Sleep Movement
2023-11-30,16:46:00.0,46,Sleep Movement
2023-11-30,16:47:00.0,47,Sleep Movement
2023-11-30,16:48:00.0,48,Sleep Movement
2023-11-30,16:49:00.0,49,Sleep Movement
2023-11-30,16:50:00.0,50,Sleep Movement
2023-11-30,16:51:00.0,51,Sleep Movement
2023-11-30,16:52:00.0,52,Sleep Movement
2023-11-30,16:53:00.0,53,Sleep Movement
2023-11-30,16:54:00.0,54,Sleep Movement
2023-11-30,16:55:00.0,55,Sleep Movement
2023-11-30,16:56:00.0,56,Sleep Movement
2023-11-30,16:57:00.0,57,Sleep Movement
2023-11-30,16:58:00.0,58,Sleep Movement
2023-11-30,16:59:00.0,59,Sleep Movement
2023-11-30,17:00:00.0,00,Sleep Movement
2023-11-30,17:01:00.0,01,Sleep Movement
2023-11-30,17:02:00.0,02,Sleep Movement
2023-11-30,17:03:00.0,03,Sleep Movement
2023-11-30,17:04:00.0,04,Sleep Movement
2023-11-30,17:05:00.0,05,Sleep Movement
2023-11-30,17:06:00.0,06,Sleep Movement
2023-11-30,17:07:00.0,07,Sleep Movement
2023-11-30,17:08:00.0,08,Sleep Movement
2023-11-30,17:09:00.0,09,Sleep Movement
2023-11-30,17:10:00.0,10,Sleep Movement
2023-11-30,17:11:00.0,11,Sleep Movement
2023-11-30,17:12:00.0,12,Sleep Movement
2023-11-30,17:13:00.0,13,Sleep Movement
2023-11-30,17:14:00.0,14,Sleep Movement
2023-11-30,17:15:00.0,15,Sleep Movement
2023-11-30,17:16:00.0,16,Sleep Movement
2023-11-30,17:17:00.0,17,Sleep Movement
2023-11-30,17:18:00.0,18,Sleep Movement
2023-11-30,17:19:00.0,19,Sleep Movement
2023-11-30,17:20:00.0,20,Sleep Movement
2023-11-30,17:21:00.0,21,Sleep Movement
2023-11-30,17:22:00.0,22,Sleep Movement
2023-11-30,17:23:00.0,23,Sleep Movement
2023-11-30,17:24:00.0,24,Sleep Movement
2023-11-30,17:25:00.0,25,Sleep Movement
2023-11-30,17:26:00.0,26,Sleep Movement
2023-11-30,17:27:00.0,27,Sleep Movement
2023-11-30,17:28:00.0,28,Sleep Movement
2023-11-30,17:29:00.0,29,Sleep Movement
2023-11-30,17:30:00.0,30,Sleep Movement
2023-11-30,17:31:00.0,31,Sleep Movement
2023-11-30,17:32:00.0,32,Sleep Movement
2023-11-30,17:33:00.0,33,Sleep Movement
2023-11-30,17:34:00.0,34,Sleep Movement
2023-11-30,17:35:00.0,35,Sleep Movement
2023-11-30,17:36:00.0,36,Sleep Movement
2023-11-30,17:37:00.0,37,Sleep Movement
2023-11-30,17:38:00.0,38,Sleep Movement
2023-11-30,17:39:00.0,39,Sleep Movement
2023-11-30,17:40:00.0,40,Sleep Movement
2023-11-30,17:41:00.0,41,Sleep Movement
2023-11-30,17:42:00.0,42,Sleep Movement
2023-11-30,17:43:00.0,43,Sleep Movement
2023-11-30,17:44:00.0,44,Sleep Movement
2023-11-30,17:45:00.0,45,Sleep Movement
2023-11-30,17:46:00.0,46,Sleep Movement
2023-11-30,17:47:00.0,47,Sleep Movement
2023-11-30,17:48:00.0,48,Sleep Movement
2023-11-30,17:49:00.0,49,Sleep Movement
2023-11-30,17:50:00.0,50,Sleep Movement
2023-11-30,17:51:00.0,51,Sleep Movement
2023-11-30,17:52:00.0,52,Sleep Movement
2023-11-30,17:53:00.0,53,Sleep Movement
2023-11-30,17:54:00.0,54,Sleep Movement
2023-11-30,17:55:00.0,55,Sleep Movement
2023-11-30,17:56:00.0,56,Sleep Movement
2023-11-30,17:57:00.0,57,Sleep Movement
2023-11-30,17:58:00.0,58,Sleep Movement
2023-11-30,17:59:00.0,59,Sleep Movement
2023-11-30,18:00:00.0,00,Sleep Movement
2023-11-30,18:01:00.0,01,Sleep Movement
